Video ID,Post Caption,Post Timestamp,Play Count,Like Count,Comment Count,Share Count,Save Count,Repost Count,Video Duration (s),Video Dimensions,Video Definition,Video Codec,Canonical URL,Creator Username,Creator Nickname,Creator User ID,Creator SEC UID,Creator Verified,Creator Follower Count,Creator Following Count,Creator Total Heart Count,Creator Total Video Count,Music ID,Music Title,Music Author,Is Original Sound,Audio Play URL,Keywords
7.28241E+18,"My Tech Home Tour | Smart Home Guide 👨🏽‍💻 ✎--------------------------------------- I made a whole super basic smart home guide that can help you guys sort off get started 🖖🏽🤓 Its really simple, nothing too complicated. I hope you guys like it!  Check it out in the BIO! ✎--------------------------------------- • • #tech #home #condo #automation #smarthome #foryou #realestate ",24/9/23 23:29,777000,81900,245,3589,13587,0,13,576x1024,540p,h264,https://www.tiktok.com/@andresvidoza/video/7282414941955558662,andresvidoza,andresvidoza,6.74045E+18,MS4wLjABAAAAbhzxku_PXPyzz7QZ7-kMCoL6yDBhss5ryxZR0Dz4PsqDAYC0p8itYJ9SLo7yHrWx,FALSE,227400,132,4400000,508,7.25736E+18,Le Monde - From Talk to Me,Richard Carter,FALSE,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/okZAADPfYCQK75dttBDE9kbqmQhZg8Fcl4BQaf,"tech, home, condo, automation, smarthome, foryou, realestate"
7.46612E+18,"What Smart Home Tech do you Use? 🤔 Whenever choosing a new smart home device like doorbells, lights, and thermostats its always good to make sure that they can work together so you don’t have to use multiple apps or different commands to manage/use them. Buying devices that work with the same Ecosystem like Google Home, Apple HomeKit, or Amazon Alexa is a good start but even devices that are from different brands can work together as long as they support Matter. As a bonus you can check out Home Assistant to set up automations and do even more cool stuff with all of your matter enabled devices. #techtok #smarthome #gadgets #tech ",1/2/25 0:44,191600,12800,149,338,2651,0,48,576x1024,540p,h264,https://www.tiktok.com/@gg.sheed/video/7466121287056788778,gg.sheed,GG_Sheed,7.28555E+18,MS4wLjABAAAA2aR7UGjDfiZI3UdgtSK_-CksZHQgJkuffFtIubGUd0J6R4pqey4i9kVdjbkIt0WZ,FALSE,614700,86,10600000,336,6.9342E+18,Tranquility,Mezax,FALSE,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/dba3bf80549a46f593139220f698daac,"techtok, smarthome, gadgets, tech"
7.52633E+18,Which one of these would you put in your home? 🫣 #dad #dadsoftiktok #diy #smarthome ,13/7/25 6:31,1100000,140400,618,10800,9972,0,131,576x1024,540p,h264,https://www.tiktok.com/@dadlifewithstephen/video/7526326508051320077,dadlifewithstephen,Stephen,7.38894E+18,MS4wLjABAAAA73OpJDdUaKC_A5DqSMtyEtALP_P7k6H5Og_l8DjKUMJafApYJ0k6eAKcuovQWbdU,FALSE,681200,319,26100000,262,7.52633E+18,original sound,Stephen,TRUE,https://v16m.tiktokcdn.com/d7ba30bbf8dc7147aedc8606b55eda18/68d6b0b2/video/tos/maliva/tos-maliva-v-27dcd7c799-us/oIig2EH1vBTAAAi4iw0EoyvL4ClaBUi7kr7PA/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThelkeKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=anBpZW85cm1oNDMzZzU8NEBpanBpZW85cm1oNDMzZzU8NEA0LnFoMmRrMW1hLS1kMS9zYSM0LnFoMmRrMW1hLS1kMS9zcw%3D%3D&vvpl=1&l=2025092523243173EA374274D3E60E8DE4&btag=e00050000&cc=3,"dad, dadsoftiktok, diy, smarthome"
7.51023E+18,"Slowly turning our home into a smart home. Kat mana boleh automate, kita automate 🤩 #homedecor  #homedecormalaysia #smarthome #smartswitch #aqara #homekit #applehome #homepod #heysiri #smartlock ",30/5/25 21:09,189600,12200,154,3638,4499,0,33,576x1024,540p,h264,https://www.tiktok.com/@sis_milofa/video/7510225167105232149,sis_milofa,Miramin,6.97619E+18,MS4wLjABAAAABoyn0Ibm-RsOgokSrLLo7JUL8ipEfQLAH22p_VrVBB8xcDfKCBBneAWwA_TkiMKb,FALSE,15900,148,184600,77,7.35261E+18,sonido original,Selectomusic | #GoodMusic,TRUE,https://v16m.tiktokcdn.com/f308aab864ffb59c9d149d6e473ab0ad/68d6b09e/video/tos/useast2a/tos-useast2a-v-27dcd7/o8AEMuZrEbeUJNCB0JNDfBsJqzCFAAbQAHhmE0/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7Th7lkeKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M25rd3g5cmZ1cjMzNzU8M0BpM25rd3g5cmZ1cjMzNzU8M0BqZy5hMmRzaTFgLS1kMTZzYSNqZy5hMmRzaTFgLS1kMTZzcw%3D%3D&vvpl=1&l=20250925232413B6FDC3610944B60B3D6D&btag=e00050000&cc=3,"homedecor, homedecormalaysia, smarthome, smartswitch, aqara, homekit, applehome, homepod, heysiri, smartlock"
7.4086E+18,The Smart Lock Pro 🔐 from @SwitchBot is the ultimate smart home addition 🔥 Get yours through 🔗 in my b!0 😉 #switchbot #smartlockpro #gadget #smarthome #tech #robot #tiktokmademebuyit,30/8/24 0:47,2000000,27500,1210,5694,10566,0,27,576x1024,540p,h264,https://www.tiktok.com/@techdropp/video/7408604115791580448,techdropp,Tech Drop,6.92459E+18,MS4wLjABAAAAjqGHqc-iOQ0Sle3OX7RkMCHtxlKY4bRSVc7RvWzCTGTYKiSWtjT0F1y6uz2Zw_oO,FALSE,463200,326,11200000,239,7.4086E+18,original sound,Tech Drop,TRUE,https://v58.tiktokcdn.com/video/tos/useast2a/tos-useast2a-v-2370-euttp/oYDbAEfAYEp04FpUkPgfD65jcpAkBJQDQmEKCD/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThJlkeKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=MzdkcHk5cmhkdTMzZjU8M0BpMzdkcHk5cmhkdTMzZjU8M0BmZ3MuMmQ0YDVgLS1kMWNzYSNmZ3MuMmQ0YDVgLS1kMWNzcw%3D%3D&vvpl=1&l=20250925232437C646BF260B21090D1736&VExpiration=1758900305&VSignature=4Nca5RVggUTILnm6lkCx8w&btag=e00078000&cc=14,"switchbot, smartlockpro, gadget, smarthome, tech, robot, tiktokmademebuyit"
7.39069E+18,Take a look inside this super cool smart home! 😍 #SmartHome #HomeAutomation #TechLife #IntlifeSmartHome #FutureLiving #Technology,12/7/24 18:04,349700,13000,92,2371,2830,0,89,576x1024,540p,h264,https://www.tiktok.com/@malaysiahomie/video/7390688211606965511,malaysiahomie,Malaysia Homie,6.77127E+18,MS4wLjABAAAApIilJQd6ZVGcCVe9f1q4230B7nwQqWg885FI5pG-itO9r6-th4CaTFWDoNuNdYnS,FALSE,342800,35,7600000,259,7.39069E+18,original sound - Malaysia Homie,Malaysia Homie,TRUE,https://v77.tiktokcdn.com/4669d305ec131a1007979b091cd73225/68d6b095/video/tos/alisg/tos-alisg-v-27dcd7/o8vf8AAc0EMMb8ehK3LIAeGZhhSM1xAIIPeoAf/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThilkeKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3h3eHc5cm1pdDMzODU8NEBpM3h3eHc5cm1pdDMzODU8NEA0NXNtMmQ0czVgLS1kMS1zYSM0NXNtMmQ0czVgLS1kMS1zcw%3D%3D&vvpl=1&l=20250925232444AE1365BC936D180F3861&btag=e00050000&cc=13,"smarthome, homeautomation, techlife, intlifesmarthome, futureliving, technology"
6.99555E+18,Reply to @itsavage Problem solved… @theswitchbot #switchbot  #smart #tech #smarthome #gadget #lazy,12/8/21 22:32,7100000,281200,1835,7889,13794,0,13,576x1024,540p,h264,https://www.tiktok.com/@thejunglebadger/video/6995551362050247941,thejunglebadger,Best Online Finds,6.89008E+18,MS4wLjABAAAAVKdWJVqPXfZn08L-R6BzRJUTS_Hesb4AM0cSv2pLrv1afxCJ_ib0p-VVZkGxvxLn,FALSE,2700000,397,78800000,732,6.75817E+18,Buttercup,Jack Stauber,FALSE,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oE9dvCBeubDBAiZRnPIfXOQtgIWwBwFM1oxDiB,"switchbot, smart, tech, smarthome, gadget, lazy"
7.10616E+18,"Whether you’re trying to 🚿, 🥘, or 🧹, I’ve got you covered with this #SmartHome #Technology! #AmazonAlexa #Tech #SmartHomeInspiration #SmartHomeTechnology",6/6/22 23:56,2700000,186100,937,1546,6029,0,27,576x1024,540p,h264,https://www.tiktok.com/@amazonalexa/video/7106156503836445998,amazonalexa,Alexa,6.77927E+18,MS4wLjABAAAA4YWQBRS81RsBzrxqhVldK7VzhXDeNEaxdVh_QW8eGZN5uA70OjXqWe8voOphSXzD,TRUE,1300000,48,12600000,582,7.10616E+18,Smart Homes Just Make Sense 2,Alexa,TRUE,https://v58.tiktokcdn.com/video/tos/maliva/tos-maliva-v-27dcd7c799-us/d746cd11196044dcbff6841c22867ded/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=248&bt=124&ds=5&ft=.NpOcInz7Th-lkeKXq8Zmo&mime_type=video_mp4&qs=13&rc=amw5bjo6ZmY1ZDMzZzU8NEBpamw5bjo6ZmY1ZDMzZzU8NEBuamtscjRnNGNgLS1kMS9zYSNuamtscjRnNGNgLS1kMS9zcw%3D%3D&vvpl=1&l=202509252324019CE547CA1468DF0BCC3A&VExpiration=1758900268&VSignature=3xdxZhuI7258fg8VwUxIng&btag=e00078000&cc=14,"smarthome, technology, amazonalexa, tech, smarthomeinspiration, smarthometechnology"
7.41614E+18,some of my tech essentials in the bedroom #tech #home #smarthome ,19/9/24 8:24,791400,65900,371,3884,15775,0,52,576x1024,540p,h264,https://www.tiktok.com/@bentaylor_nyc/video/7416143555502050603,bentaylor_nyc,Ben Taylor,6.75924E+18,MS4wLjABAAAAKEumsm7MK82Fq47jyDhz_bAqRwieGRnB7lfqxB229AMjkRZcrzBojtTr1HndueUa,FALSE,606700,359,17200000,544,7.41614E+18,original sound,Ben Taylor,TRUE,https://v77.tiktokcdn.com/35ca416159a4fc5def2485d39f59bd61/68d6b076/video/tos/maliva/tos-maliva-v-27dcd7c799-us/oAD8Am2BJOeiU1iJS6EAP2CSrbgfQm0rAD6E0B/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7Thh~keKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3RmeW45cm1wdTMzZzU8NEBpM3RmeW45cm1wdTMzZzU8NEA1cTIxMmRjcmlgLS1kMS9zYSM1cTIxMmRjcmlgLS1kMS9zcw%3D%3D&vvpl=1&l=20250925232450CEC8665AC541DD0E7515&btag=e00048000&cc=13,"tech, home, smarthome"
7.40754E+18,"Sharing my smart bedroom setup with you. It’s incredible what you can do with just the right sensor, a free software (Home Assistant) and a few smart lights. #smarthome #homeassistant #homeautomation #techtok #fyp ",27/8/24 3:46,2000000,154000,987,15800,51044,0,88,576x1024,540p,h264,https://www.tiktok.com/@plassonade/video/7407537007624244513,plassonade,Loris | Smart Home 🏡,6.77214E+18,MS4wLjABAAAA5XKiMgP6T-vu8ncPuGHAhHaPeG-_jDfEjYPSBEn3UZjk4PtBDkCg-cHeyv9oOJ-I,FALSE,149500,115,6300000,290,7.40754E+18,original sound,Loris | Smart Home 🏡,TRUE,https://v77.tiktokcdn.com/97e83cf0cbf41fb5784ed071b406eeb3/68d6b06f/video/tos/useast2a/tos-useast2a-v-2370-euttp/o0EMEADAJ2RzCZDmPFDhfkXfjurU2EAQP6N7BQ/?a=1180&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7TholkeKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=ajc6eW85cmdndTMzZjU8M0Bpajc6eW85cmdndTMzZjU8M0BlaW5nMmRrazNgLS1kMWNzYSNlaW5nMmRrazNgLS1kMWNzcw%3D%3D&vvpl=1&l=20250925232407BB2FFBBECD40A70CD3AE&btag=e00050000&cc=13,"smarthome, homeassistant, homeautomation, techtok, fyp"